"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","Park_Name","Park_Type","Zip_Code","Aqua_Feat__Pool","Aqua_Feat__Spray","Backstop__Practice","Ballfield","Basketball","Blueway","Complex__Ballfield","Complex__Tennis","Concessions","Disk_Golf","Driving_Range","Educational_Experience","Event_Space","Fitness_Course","Garden__Community","Garden__Display","Golf","Hockey__Ice","Loop_Walk","MP_Field__Large","MP_Field__Multiple","MP_Field__Small","Multiuse_Court","Natural_Area","Open_Turf","Open_Water","Other___Active","Other_Passive","Passive_Node","Picnic_Grounds","Playground__Destination","Playground__Local","Public_Art","Shelter","Shelter__Group","Skate_Park","Sledding_Hill","Structure","Tennis","Trail__Primitive","Volleyball","Water_Access__Developed","Water_Access__General","Water_Feature","Address","X","Y"
"1",1,1,1,1,1,1,1,"Viewing Park","Neighborhood Park",46617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"900 Northside Blvd, South Bend, Indiana 46617",-86.23634465,41.66749187
"2",2,2,2,2,2,2,2,"Potawatomi Zoo","Zoo",46615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500 South Greenlawn Avenue, South Bend, Indiana 46615",-86.2207712,41.67127161
"3",3,3,3,3,3,3,3,"Vassar Park","Neighborhood Park",46616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1100 Sherman Avenue, South Bend, Indiana 46616",-86.26493243,41.68948375
"4",4,4,4,4,4,4,4,"Kennedy Park","Community Park",46628,1,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2700 Westmoor Street, South Bend, Indiana 46628",-86.28838583,41.68467465
"5",5,5,5,5,5,5,5,"East Race Trail","Special",46617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"935 Niles, South Bend, Indiana 46617",-86.23649852,41.68411375
"6",6,6,6,6,6,6,6,"Fredrickson Park","Neighborhood Park",46617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1330 South Bend Avenue, South Bend, Indiana 46617",-86.23014734,41.69058632
"7",7,7,7,7,7,7,7,"Jon Hunt Memorial Plaza","Memorial",46601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"214 Michigan Street, South Bend, Indiana 46601",-86.25045095,41.67831068
"8",8,8,8,8,8,8,8,"Potawatomi Park","Community Park",46615,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,12,2,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,"2000 Wall Street, South Bend, Indiana 46615",-86.21790959,41.66753651
"9",9,9,9,9,9,9,9,"O'Brien Park","Neighborhood Park",46614,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"321 Walter Street, South Bend, Indiana 46614",-86.24687887,41.63101198
"10",10,10,10,10,10,10,10,"Fremont Park","Block Park",46628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1800 North Fremont Street, South Bend, Indiana 46628",-86.28497231,41.69936384
"11",11,11,11,11,11,11,11,"Shetterley Park","Block Park",46616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"1044 Riverside Drive, South Bend, Indiana 46616",-86.2596479,41.68909716
"12",12,12,12,12,12,12,12,"Kelly Park","Block Park",46617,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"718 Howard Street, South Bend, Indiana 46617",-86.24057544,41.68843303
"13",13,13,13,13,13,13,13,"Martin Luther King Jr.","Neighborhood Park",46628,NA,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1522 W. Linden Avenue, South Bend, Indiana 46628",-86.27417085,41.6793832
"14",14,14,14,14,14,14,14,"Ponader Park","Neighborhood Park",46635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54054 Maple Lane Avenue, South Bend, Indiana 46635",-86.21386387,41.70867075
"15",15,15,15,15,15,15,15,"Riverside Park","Neighborhood Park",46628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"3840 Riverside Drive, South Bend, Indiana 46628",-86.26930036,41.72734727
"16",16,16,16,16,16,16,16,"Rum Village Annex","Community Park",46614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"2700 Gertrude St, South Bend, Indiana 46614",-86.273117,41.64682859
"17",17,17,17,17,17,17,17,"Northside Blvd. Riverwalk","Community Park",46617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"1350 Northside Blvd, South Bend, Indiana 46617",-86.22912509,41.66133959
